"country";"iso3c";"year";"ptype";"programme"
"Colombia";"COL";"2001";"lpi";"Youth in Action (Jóvenes en Acción) (2001-)"
"Costa Rica";"CRI";"2011";"lpi";"Empléate (2011-)"
"Costa Rica";"CRI";"2012";"lpi";"Emprende Project (2012 - 2019)"
"Costa Rica";"CRI";"2018";"lpi";"Individual Productive Entrepreneurship (IMAS) (2018 - )"
"Costa Rica";"CRI";"2015";"lpi";"Mi First Job (Mi Primer Empleo) (2015-)"
"Costa Rica";"CRI";"2000";"lpi";"National Employment Programme (Programa Nacional de Empleo) (PRONAE) (2000- )"
"Costa Rica";"CRI";"1992";"lpi";"National Programme of Support for Micro-enterprise and Social Mobility (PRONAMYPE) (1992 - )"
"Dominican Republic";"DOM";"2003";"lpi";"Youth and Employment Programme (PJE)  (2003- )"
"Ecuador";"ECU";"2018";"lpi";"""Fortalece Empleo"" Strategy (2018 - )"
"Ecuador";"ECU";"2001";"lpi";"Human Development Credit Programme (Complementary to the Human Development Grant) (2001- )"
"Ecuador";"ECU";"2007";"lpi";"My First Job (2007 - )"
"Ecuador";"ECU";"2018";"lpi";"My Future is Today (formerly Youth Employment) (Mi Futuro es Hoy (ex Empleo Joven))  (2018 - 2021)"
"Ecuador";"ECU";"2018";"lpi";"Programme Emprende Empleo (2018 -)"
"El Salvador";"SLV";"2014";"lpi";"JóvenES Con Todo Programme (2014-)"
"El Salvador";"SLV";"2009";"lpi";"Temporary Income Support Program (PATI) (Complementary Programme to the Solidarity in Communities Programme) (Programa de Apoyo Temporal al Ingreso) (2009-2016)"
"Guatemala";"GTM";"2013";"lpi";"First Job Grant (Beca Primer Empleo) (2013-2018)"
"Guatemala";"GTM";"2012";"lpi";"My Craftspersons Grant (Mi Beca Artesano) (2012-2018)"
"Guatemala";"GTM";"2013";"lpi";"Programme of Employment Creation and Vocational Education for Young People (Programa de generación de empleo y educación vocacional para jóvenes en Guatemala) (2013- )"
"Guatemala";"GTM";"2018";"lpi";"Social Grant Programme (Programa Beca Social) (2018-)"
"Haiti";"HTI";"2013";"lpi";"Kore Peyizan (2013-2015)"
"Haiti";"HTI";"2020";"lpi";"Temporary Social Safety Net and Skills for Youth (Filet de Sécurité Sociale Temporaire et Compétence pour les Jeunes) (2020-)"
"Haiti";"HTI";"2013";"lpi";"Ti Kredi (2013-2015)"
"Honduras";"HND";"2014";"lpi";"Con Chamba Vivís Mejor (2014-)"
"Honduras";"HND";"2004";"lpi";"Employment Promotion Programme- PROEMPLEO (Programa de Promoción al Empleo) (2004-)"
"Honduras";"HND";"2014";"lpi";"Vocational training for young people at risk of exclusion (PROJOVEN) (Formación profesional para jóvenes en riesgo de exclusión social) (2014)"
"Jamaica";"JAM";"2002";"lpi";"Building Youth for National Development (2002- )"
"Jamaica";"JAM";"2005";"lpi";"Jamaica Youth Employment Network  (2005- )"
"Jamaica";"JAM";"2008";"lpi";"Step-to-work Programme (2008- )"
"Mexico";"MEX";"1998";"lpi";"Employment Support Programme (PAE) (Programa de Apoyo al Empleo) (1998-)"
"Mexico";"MEX";"2019";"lpi";"Microcredit for Wellbeing Programme (Tandas para el Bienestar) (2019 - 2021)"
"Mexico";"MEX";"2007";"lpi";"My First Employment Programme (Programa de Primer Empleo) (2007-2011)"
"Mexico";"MEX";"2001";"lpi";"National Program of Financing for Microentrepreneurs and Rural Women (2001 - 2019)"
"Mexico";"MEX";"2014";"lpi";"Program for the Improvement of Indigenous Production and Productivity (2014 - )"
"Mexico";"MEX";"2008";"lpi";"Programme of Support for the Productivity of Women Entrepreneurs (PROMETE) (2008 - 2015)"
"Mexico";"MEX";"2003";"lpi";"Promotion of Social Economy Programme (Ex Productive Options Programme) (Programa de Fomento a la Economía Social) (2003- )"
"Mexico";"MEX";"2021";"lpi";"Social Economy Strategies Network (REDES) (2021 - )"
"Mexico";"MEX";"2019";"lpi";"Sowing Life Programme (2019-)"
"Mexico";"MEX";"2000";"lpi";"Temporary Employment Programme (PET) (Programa de Empleo Temporal) (2000-)"
"Mexico";"MEX";"2003";"lpi";"Young people with Prospera (Jóvenes con Prospera -Ex Jóvenes con Oportunidades 2003-2014)  (2003-2019)"
"Mexico";"MEX";"2019";"lpi";"Youth building the future (Jóvenes construyendo el futuro) (2019-)"
"Nicaragua";"NIC";"2007";"lpi";"Food Productive Programme (Zero Hunger Programme) (Programa Productivo Alimentario) (2007-)"
"Nicaragua";"NIC";"2007";"lpi";"Usura Cero Microcredit Programme (2007 - )"
"Panama";"PAN";"2006";"lpi";"Fami-Enterprises (2006 - )"
"Panama";"PAN";"2000";"lpi";"Godfather Entrepreneur Programme (Programa Padrino Empresario) (2000- )"
"Panama";"PAN";"2007";"lpi";"Labour Inclusion Support Programme (PAIL) (Programa de Apoyo a la Inserción Laboral)  (2007- )"
"Panama";"PAN";"2014";"lpi";"Learning By Doing (Ex Panama Pro Youth / Ex Panamá Pro Joven) (2014- )"
"Panama";"PAN";"2015";"lpi";"Programme for the Improvement of the Employability of People with Disabilities (Programa de Mejoramiento a la Empleabilidad de las Personas con Discapacidad) (2015-)"
"Panama";"PAN";"2009";"lpi";"Seed Capital Fund (2009 - )"
"Paraguay";"PRY";"2018";"lpi";"Dual Methodology Vocational Training Programme (Mopadual) (2018 - )"
"Paraguay";"PRY";"2021";"lpi";"First Employment Programme (2021 - )"
"Paraguay";"PRY";"2014";"lpi";"Joint Opportunities Programme (PCO) ""Youth: Skills and Economic Opportunities for Social Inclusion""."
"Paraguay";"PRY";"2010";"lpi";"Ñamba`apo Paraguay (2010-2012)"
"Paraguay";"PRY";"2014";"lpi";"Tenonderã (2014- )"
"Paraguay";"PRY";"2015";"lpi";"Woman City (2015 - )"
"Paraguay";"PRY";"2013";"lpi";"Women Entrepreneurs in Family Farming (2013 - 2018)"
"Peru";"PER";"2014";"lpi";"Access to Local Markets for Rural Households with Subsistence Economies - Haku Wiñay (2014-)"
"Peru";"PER";"1992";"lpi";"Microenterprise Support Programme (PAME) (Programa de Apoyo Crediticio a la Pequeña y Microempresa) (1992-)"
"Peru";"PER";"2011";"lpi";"National Employability Program (Ex Productive Youth and ""Impulsa Perú"") (2011-)"
"Peru";"PER";"2011";"lpi";"National Programme for the Promotion of Employment Opportunities ""Impulsa Perú"" (Ex Vamos Peru) (2011- 2021)"
"Peru";"PER";"2006";"lpi";"Programme for the Generation of Inclusive Social Employment -Trabaja Perú  (Ex Building Peru) (2006-)"
"St. Vincent & Grenadines";"VCT";"2019";"lpi";"Promoting Youth Micro Enterprises (PRYME) (2019-)"
"Trinidad & Tobago";"TTO";"2022";"lpi";"On the job training (2022 - )"
"Trinidad & Tobago";"TTO";"2010";"lpi";"Unemployment Relief Programme (2010- )"
"Uruguay";"URY";"2022";"lpi";"Access Programmes (2022 - )"
"Uruguay";"URY";"2010";"lpi";"Education Commitment programme (Compromiso Educativo) (2010- )"
"Uruguay";"URY";"2010";"lpi";"FOCCO Programme (Strengthening Capacities and Competences) (2010 - )"
"Uruguay";"URY";"2012";"lpi";"I Study and Work (2012 - )"
"Uruguay";"URY";"2007";"lpi";"Objetivo Empleo Programme (POE) (2007 - )"
"Uruguay";"URY";"2006";"lpi";"Productive Entrepreneurship Strengthening Programme (Programa de Fortalecimiento a Emprendimientos Productivos) 											 (Programa de Fortalecimiento a Emprendimientos Productivos) (2006-)"
"Uruguay";"URY";"1996";"lpi";"Productive Investment Program (1996 - )"
"Uruguay";"URY";"2006";"lpi";"Promotion, development and auditing of Social Cooperatives (Promoción, desarrollo y auditoria de Cooperativas Sociales) (2006-)"
"Uruguay";"URY";"2011";"lpi";"Social insertion programme aimed at people with problematic drug use during processes of care, treatment, and social integration (2011 - )"
"Uruguay";"URY";"2012";"lpi";"Support for the inclusion of people with disabilities in the labor market (2012 - )"
"Uruguay";"URY";"1993";"lpi";"Training of populations vulnerable to unemployment (1993 - )"
"Uruguay";"URY";"2007";"lpi";"Uruguay Works programme (Uruguay Trabaja) (2007-)"
"Uruguay";"URY";"2013";"lpi";"Youth Employment (2013 - )"
"Uruguay";"URY";"2012";"lpi";"Youth in Network (2012 - 2021)"
"Venezuela";"VEN";"2012";"lpi";"Gran Misión Chamba Juvenil (Formerly Gran Misión Saber y Trabajo) (2012- )"
"Venezuela";"VEN";"2003";"lpi";"Gran Misión Ribas (2003- )"
"Venezuela";"VEN";"2016";"lpi";"I am a Woman (2016-)"
"Antigua & Barbuda";"ATG";"1993";"sp";"Old-age Assistance Programme (1993-)"
"Antigua & Barbuda";"ATG";"2009";"sp";"People's Benefit Program (2009-)"
"Argentina";"ARG";"1948";"sp";"Programa de Pensiones no Contributivas (1948-)"
"Argentina";"ARG";"2016";"sp";"Universal Pension for Older People (2016-)"
"Bahamas";"BHS";"1972";"sp";"Invalidity Assistance (1972-)"
"Bahamas";"BHS";"1972";"sp";"Old-age Non-Contributory Pension (1972-)"
"Barbados";"BRB";"1982";"sp";"Non-Contributory Old-Age Pension (1982-)"
"Belize";"BLZ";"2003";"sp";"Non-Contributory Pension Program (2003-)"
"Bermuda";"BMU";"1970";"sp";"Non-Contributory Pension (1970-)"
"Bolivia";"BOL";"1997";"sp";"Bonosol “Bono Solidario“ (1997-2007)"
"Bolivia";"BOL";"2018";"sp";"Monthly Transfer For People With Severe And Very Serious Disabilities (2018-)"
"Bolivia";"BOL";"2008";"sp";"Renta Universal de Vejez “Renta Dignidad“ (2008-)"
"Bolivia";"BOL";"2013";"sp";"Solidarity Income (2013 - 2017)"
"Brazil";"BRA";"1996";"sp";"Benefício de Prestação Continuada (Continuous Benefit Programme) (1996-)"
"Brazil";"BRA";"1993";"sp";"Previdência Rural (1993-)"
"Chile";"CHL";"1975";"sp";"Assistance Pension (PASIS) (1975-2008)"
"Chile";"CHL";"2008";"sp";"Pensión Básica Solidaria (Basic Solidarity Pension) (2008-)"
"Chile";"CHL";"2022";"sp";"Pensión Garantizada Universal (PGU) / Universal Guaranteed Pension  (2022- )"
"Colombia";"COL";"2012";"sp";"Programa Colombia Mayor (Colombia Elderly Programme) (2012- )"
"Colombia";"COL";"2003";"sp";"Programa de Protección Social al Adulto Mayor (Social protection program for the elderly) (2003-2012)"
