"";"region";"iso3c";"country";"year";"system";"leader";"party_name";"pf_party_id";"party_short";"cg_pcp_sexp";"cg_prop_sexp";"cg_prop_def";"cg_gdp_sexp";"n_sp";"n_cct";"n_lpi";"n_ncp";"all_cmd_imports";"real_cmd_exports_pcp";"pop";"maj";"execrlc";"exelec";"statecap_baseline";"v2x_polyarchy";"demstock_one";"gdp_pcp_ppp";"inf_eop_g";"unemp";"gg_rev";"cgov_debt";"kof_trade_df";"kof_trade_dj";"def_prop_gdp";"milex";"urban_pop";"dp_ratio_old";"dp_ratio_yg";"civtot";"ajr_settmort";"dist";"v2pariglef_ord";"milex_pop"
"372";"Caribbean";"VCT";"St. Vincent & Grenadines";2015;;;;;;;;;;0;0;0;0;121190;103,531232949715;106;;;;;;;12323,856;-2,05;;25,575;64,969702871527;67,2002944946289;;;;46,6845638727475;14,2659124639467;35,4918652516032;;;2394927,50570061;;
"373";"Caribbean";"VCT";"St. Vincent & Grenadines";2016;;;;;;;44,8103269386716;;;0;0;0;0;127964;55,0579961532562;106;;;;;;;12806,273;0,951;;28,122;65,010282141677;66,1735076904297;;;;46,8116589511271;14,5582075286048;34,9315453599843;;;2394927,50570061;;
"374";"Caribbean";"VCT";"St. Vincent & Grenadines";2017;;;;;;;32,9835447656473;;;0;0;0;0;121444;175,976012116851;106;;;;;;;12975,244;3,016;;27,946;57,775519050155;59,3317642211914;;;;46,9392900518098;14,884509429964;34,3900543900544;;;2394927,50570061;;
"375";"Caribbean";"VCT";"St. Vincent & Grenadines";2018;;;;;;;36,1883902457886;;;0;0;0;0;133779;228,361358329191;105;;;;;;;13376,586;1,372;;26,64;58,833148586826;56,9098014831543;;;;47,0674689446123;15,2697803369588;33,9119926068103;;;2394927,50570061;;
"376";"Caribbean";"VCT";"St. Vincent & Grenadines";2019;;;;;;;36,4430693342815;;;0;0;1;1;124615;166,604553494575;105;;;;;;;13454,425;0,451;;27,482;61,27034372286;54,6921615600586;;;;47,1962073993512;15,7335893504521;33,5306002550618;;;2394927,50570061;;
"377";"Caribbean";"VCT";"St. Vincent & Grenadines";2020;;;;;;;31,0729329179728;;;0;0;0;0;128931;169,2023274369;105;;;;;;;12941,005;-0,988;;28,531;72,43190854894;47,4012603759766;;;;47,3255171858432;16,0903296513137;33,200184581663;;;2394927,50570061;;
"378";"Caribbean";"TTO";"Trinidad & Tobago";1990;"Parliamentary";"Arthur Napoleon Raymond Robinson";"National Alliance for Reconstruction";4284;"NAR";;;;;0;0;0;0;;;;0,91666669;"Left";0;1,32038176059723;0,73;0,246770832748584;10431,87;5,774;;26,555;47,708453263951;48,611759185791;30,1214561462402;;;55,0016678807098;7,26891901140635;54,432955876409;0;4,44;2542282,63112054;4;
"379";"Caribbean";"TTO";"Trinidad & Tobago";1991;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;0;0;0;;;;0,91666669;"Left";0;1,32038176059723;0,746;0,252198435217172;10686,654;223,966;;29,772;49,477126168558;54,8654022216797;30,5179748535156;;;55,1774102229177;7,27246787755575;53,5047124807176;0;4,44;2542282,63112054;3;
"380";"Caribbean";"TTO";"Trinidad & Tobago";1992;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;0;0;0;;;;0,58333331;"Right";0;1,32038176059723;0,765;0,257746243667618;11693,172;8,75;;26,034;49,151960745117;48,2184410095215;31,1538143157959;;;55,3352631976883;7,2697508414296;52,3757753643475;0;4,44;2542282,63112054;3;
"381";"Caribbean";"TTO";"Trinidad & Tobago";1993;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;0;0;0;;;;0,58333331;"Right";0;1,32038176059723;0,765;0,263445771416329;11550,3;13,41;;27,519;58,785714645871;54,3929138183594;31,5123863220215;0,494773590298477;78,9993393255396;55,4750221159377;7,25737770773462;51,0152343870709;0;4,44;2542282,63112054;3;
